@timestamp,month,year,message,1.err_type,1.Params.Timestamp,1.Params.Host,1.Desc,input_type,delay,source,3.err_type,3.Params.Interface 2,3.Params.Timestamp,3.Params.Interface 1,3.Desc,2.err_type,2.Params.Timestamp,2.Desc,5.err_type,5.Params.Timestamp,5.Params.Host,5.Desc,4.err_type,4.Params.Timestamp,4.Params.Switch,4.Desc,7.err_type,7.Params.Timestamp,7.Params.Switch,7.Desc,6.err_type,6.Params.Timestamp,6.Params.Switch,6.Desc,9.err_type,9.Params.Timestamp,9.Params.Time,9.Desc,8.err_type,8.Params.Timestamp,8.Params.Time,8.Desc,type,simulation_id,tags.0,beat.hostname,beat.name,beat.version,host,offset,day,11.err_type,11.Params.Timestamp,11.Params.Switch,11.Desc,10.err_type,10.Params.Timestamp,10.Params.Switch,10.Desc,loglevel,time,action,@version,err.err_type,err.Params.Timestamp,err.Params.Switch,err.Desc
2017-07-28T09:44:39.039Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:35.797191"", ""Switch"": ""23""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,6445,28,,,,,,,,,INFO,"09:44:35,797",err,1,4,2017-07-28 09:44:35.797191,23,A switch has failed
2017-07-28T09:44:42.040Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:40.934085"", ""Switch"": ""34""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,6620,28,,,,,,,,,INFO,"09:44:40,934",err,1,4,2017-07-28 09:44:40.934085,34,A switch has failed
2017-07-28T09:44:43.653Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:40.934085"", ""Switch"": ""34""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,35699,28,,,,,,,,,INFO,"09:44:40,934",err,1,4,2017-07-28 09:44:40.934085,34,A switch has failed
2017-07-28T09:44:26.650Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:25.633535"", ""Switch"": ""6""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,35174,28,,,,,,,,,INFO,"09:44:25,633",err,1,4,2017-07-28 09:44:25.633535,6,A switch has failed
2017-07-28T09:44:29.038Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:25.633535"", ""Switch"": ""6""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728941_4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,6095,28,,,,,,,,,INFO,"09:44:25,633",err,1,4,2017-07-28 09:44:25.633535,6,A switch has failed
2017-07-28T09:44:53.654Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:51.183727"", ""Switch"": ""30""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,36049,28,,,,,,,,,INFO,"09:44:51,183",err,1,4,2017-07-28 09:44:51.183727,30,A switch has failed
2017-07-28T09:44:23.650Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:20.607879"", ""Switch"": ""23""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,35000,28,,,,,,,,,INFO,"09:44:20,608",err,1,4,2017-07-28 09:44:20.607879,23,A switch has failed
2017-07-28T09:44:33.646Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:44:30.760724"", ""Switch"": ""24""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,32058,28,,,,,,,,,INFO,"09:44:30,760",err,1,4,2017-07-28 09:44:30.760724,24,A switch has failed
2017-07-28T09:45:43.656Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:45:41.890997"", ""Switch"": ""67""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728930_3.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,34507,28,,,,,,,,,INFO,"09:45:41,891",err,1,4,2017-07-28 09:45:41.890997,67,A switch has failed
2017-07-28T09:45:16.657Z,07,2017,"{""err"": {""err_type"": ""4"", ""Params"": {""Timestamp"": ""2017-07-28 09:45:16.585738"", ""Switch"": ""75""}, ""Desc"": ""A switch has failed""}}",,,,,log,,/root/log/2017728918_2.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log,2017728941_4,beats_input_codec_plain_applied,cbdd7784b2d2,cbdd7784b2d2,5.4.1,cbdd7784b2d2,36923,28,,,,,,,,,INFO,"09:45:16,585",err,1,4,2017-07-28 09:45:16.585738,75,A switch has failed
